Time,TotalHb_Left,TotalHb_Left_1cm,TotalHb_Left_3cm,TotalHb_Right,TotalHb_Right_1cm,TotalHb_Right_3cm,HR_Left,HR_Right,LF/HF_Left,LF/HF_Right,TemperatureC,Slope_X,Slope_Y,Slope_Z,DeepBreath,Chart_X,Chart_Y,Chart_Quadrant,Chart_Radius,Mark
0.0,0.0,-0.071125,-0.106663,0.0,-0.046691,-0.077855,0.0,0.0,0.0,0.0,30.875,-0.680618,0.0,-0.214423,0.0,0.0,-100.0,4.0,100.0,0.0
0.1,0.137503,-0.087001,-0.158138,0.161126,-0.056024,-0.133309,66.101695,66.101695,0.0,0.0,30.875,-0.587334,0.0,-0.205466,0.0,0.0,5.0,1.0,127.0,0.0
0.2,0.11337,-0.032356,-0.021272,0.19875,-0.03968,0.027807,66.101695,66.101695,0.0,0.0,30.75,-0.494682,0.0,-0.196564,0.0,0.0,5.0,1.0,122.0,0.0
0.3,0.082421,-0.016305,-0.035605,0.198995,-0.032659,0.027807,66.48159,66.48159,0.0,0.0,30.75,-0.298592,0.0,-0.200752,0.0,0.0,7.0,1.0,116.0,0.0
0.4,0.073223,-0.020896,-0.026054,0.204082,-0.037341,0.023063,66.671537,66.671537,0.0,0.0,30.875,0.271454,0.0,0.024694,0.0,0.0,8.0,1.0,114.0,0.0
0.5,0.073827,-0.018601,0.012334,0.212839,-0.037341,0.051594,66.785506,66.785506,0.0,0.0,30.875,0.267555,0.0,0.240633,0.0,0.0,8.0,1.0,114.0,0.0
0.6,0.081595,-0.032356,0.009926,0.221186,-0.042018,0.042066,66.861485,67.058097,0.0,0.0,30.875,0.174072,0.0,0.449936,0.0,0.0,9.0,1.0,116.0,0.0
0.7,0.087105,-0.050638,-0.052276,0.222615,-0.049026,-0.026477,67.145909,67.478369,0.0,0.0,30.875,0.264023,0.0,0.456633,0.0,0.0,10.0,1.0,117.0,0.0
0.8,0.090685,-0.068853,-0.118408,0.218674,-0.056024,-0.103348,67.359228,67.65013,0.0,0.0,30.75,0.267555,0.0,0.240633,0.0,0.0,11.0,1.0,118.0,0.0
0.9,0.091765,-0.087001,-0.195243,0.211276,-0.063012,-0.179055,67.219502,67.478082,0.0,0.0,30.875,0.177643,0.0,0.233193,0.0,0.0,11.0,1.0,118.0,0.0
1.0,0.08987,-0.073396,-0.176725,0.203969,-0.056024,-0.156234,67.107721,67.340443,0.0,0.0,30.875,0.557098,0.0,0.029148,0.0,0.0,10.0,1.0,117.0,0.0
1.1,0.084379,-0.014007,-0.018879,0.206013,-0.037341,0.030181,67.227115,67.477899,0.0,0.0,30.75,0.35685,0.0,0.248026,0.0,0.0,11.0,1.0,116.0,0.0
1.2,0.08072,-0.000202,0.038897,0.208191,-0.027973,0.085087,67.228304,67.556495,0.0,0.0,30.75,0.35685,0.0,0.248026,0.0,0.0,11.0,1.0,116.0,0.0
1.3,0.078926,0.011332,0.0949,0.208239,-0.013888,0.135751,67.22931,67.623,0.0,0.0,30.875,0.645203,0.0,0.037267,0.0,0.0,11.0,1.0,115.0,0.0
1.4,0.074293,0.009023,0.043742,0.204147,-0.013888,0.077891,67.230172,67.435642,0.0,0.0,30.75,0.36071,0.0,0.032825,0.0,0.0,11.0,1.0,114.0,0.0
1.5,0.071065,-0.00941,-0.006897,0.197644,-0.018588,0.008859,67.230919,67.384377,0.0,0.0,30.75,0.275726,0.0,-0.191178,0.0,0.0,11.0,1.0,114.0,0.0
1.6,0.067728,-0.02319,-0.061777,0.189678,-0.023283,-0.052232,67.306898,67.422042,0.0,0.0,30.875,0.181595,0.0,0.016513,0.0,0.0,11.0,1.0,113.0,0.0
1.7,0.065062,-0.03922,-0.111364,0.180956,-0.027973,-0.105659,67.382877,67.459707,0.0,0.0,30.75,0.09111,0.0,0.008282,0.0,0.0,11.0,1.0,113.0,0.0
1.8,0.064556,-0.064305,-0.162791,0.173,-0.037341,-0.158521,67.306898,67.310282,0.0,0.0,30.875,0.0,0.0,0.0,0.0,0.0,11.0,1.0,112.0,0.0
1.9,0.062932,-0.020896,-0.03799,0.168235,-0.016239,-0.002948,67.306898,67.49419,0.0,0.0,30.875,0.09111,0.0,0.008282,0.0,0.0,11.0,1.0,112.0,0.0
2.0,0.061432,0.022893,0.109613,0.166663,0.002594,0.150321,67.490806,67.678098,0.0,0.0,30.875,-0.101875,0.0,-0.204922,0.0,0.0,12.0,1.0,112.0,0.0
2.1,0.059445,0.027525,0.112069,0.163121,0.009674,0.143031,67.674714,67.783361,0.0,0.0,30.75,-0.211472,0.0,0.024068,0.0,0.0,13.0,1.0,111.0,0.0
2.2,0.055899,0.034481,0.097349,0.156982,0.019131,0.128482,67.645954,67.678098,0.0,0.0,30.875,0.07515,0.0,0.028425,0.0,0.0,13.0,1.0,111.0,0.0
2.3,0.051565,0.027525,0.048592,0.149614,0.016765,0.075495,67.462569,67.91552,0.0,0.0,30.875,-0.211472,0.0,0.024068,0.0,0.0,12.0,1.0,110.0,0.0
2.4,0.047893,0.009023,-0.006897,0.140921,0.012037,0.004133,67.584092,68.037042,0.0,0.0,30.875,-0.411079,0.0,0.24352,0.0,0.0,12.0,1.0,109.0,0.0
2.5,0.046366,-0.011709,-0.030832,0.133282,0.004953,-0.024129,67.660071,68.113021,0.0,0.0,30.75,-0.407066,0.0,0.027869,0.0,0.0,13.0,1.0,109.0,0.0
2.6,0.047028,-0.025483,-0.023664,0.127455,0.000236,-0.017079,67.581426,67.929637,0.0,0.0,30.875,-0.602028,0.0,0.031685,0.0,0.0,12.0,1.0,109.0,0.0
2.7,0.049428,-0.046074,-0.045138,0.12259,-0.009185,-0.052232,67.581426,67.775013,0.0,0.0,30.875,-0.215462,0.0,0.240063,0.0,0.0,12.0,1.0,109.0,0.0
2.8,0.049433,0.013642,0.0949,0.119745,0.016765,0.130904,67.581426,67.696368,0.0,0.0,30.75,-0.015251,0.0,0.020282,0.0,0.0,12.0,1.0,109.0,0.0
2.9,0.047714,0.029842,0.099799,0.115725,0.023865,0.128482,67.765334,68.029701,0.0,0.0,30.75,-0.019218,0.0,0.236621,0.0,0.0,13.0,1.0,109.0,0.0
3.0,0.045051,0.029842,0.068038,0.110433,0.026234,0.094698,67.843979,68.251924,0.0,0.0,30.875,-0.110283,0.0,0.229171,0.0,0.0,14.0,1.0,109.0,0.0
3.1,0.042071,0.032161,0.060737,0.104926,0.028605,0.08989,67.922623,68.368883,0.0,0.0,30.75,-0.303009,0.0,0.015915,0.0,0.0,14.0,1.0,108.0,0.0
3.2,0.040631,0.013642,0.041319,0.100121,0.019131,0.051594,68.001268,68.591105,0.0,0.0,30.875,-0.303009,0.0,0.015915,0.0,0.0,15.0,1.0,108.0,0.0
3.3,0.041997,-0.007109,0.060737,0.097316,0.012037,0.070705,68.261155,68.924438,0.0,0.0,30.875,-0.298592,0.0,-0.200752,0.0,0.0,16.0,1.0,108.0,0.0
3.4,0.042333,-0.02319,-0.026054,0.092755,0.007313,-0.01943,68.445063,68.924438,0.0,0.0,30.875,-0.298592,0.0,-0.200752,0.0,0.0,17.0,1.0,108.0,0.0
3.5,0.043658,-0.048356,-0.075995,0.089174,-0.006831,-0.068553,68.368561,68.847936,0.0,0.0,30.875,-0.298592,0.0,-0.200752,0.0,0.0,16.0,1.0,108.0,0.0
3.6,0.044544,-0.059753,-0.127785,0.084849,-0.009185,-0.114893,68.184653,68.664028,0.0,0.0,30.875,-0.10627,0.0,0.01209,0.0,0.0,15.0,1.0,108.0,0.0
3.7,0.044092,0.002103,0.034057,0.083225,0.009674,0.075495,68.106008,68.585383,0.0,0.0,30.875,-0.10627,0.0,0.01209,0.0,0.0,15.0,1.0,108.0,0.0
3.8,0.042833,0.022893,0.072911,0.081264,0.019131,0.109149,68.365895,68.34796,0.0,0.0,30.875,-0.197906,0.0,0.003848,0.0,0.0,16.0,1.0,108.0,0.0
3.9,0.041701,0.022893,0.075349,0.079343,0.019131,0.106737,68.398996,68.409822,0.0,0.0,30.75,-0.290184,0.0,-0.004446,0.0,0.0,16.0,1.0,108.0,0.0
4.0,0.04284,0.022893,0.163934,0.0794,0.019131,0.182036,68.662,68.569921,0.0,0.0,30.875,-0.483475,0.0,-0.218697,0.0,0.0,18.0,1.0,108.0,0.0
4.1,0.043338,0.006716,0.085115,0.078526,0.012037,0.106737,68.925005,68.990728,0.0,0.0,30.875,-0.483475,0.0,-0.218697,0.0,0.0,19.0,1.0,108.0,0.0
4.2,0.044396,-0.016305,0.031639,0.077461,0.000236,0.034931,69.188009,69.329711,0.0,0.0,30.875,-0.298592,0.0,-0.200752,0.0,0.0,20.0,1.0,108.0,0.0
4.3,0.045494,-0.032356,-0.018879,0.075633,-0.002121,-0.012373,69.371917,69.592715,0.0,0.0,30.875,-0.2071,0.0,-0.19186,0.0,0.0,21.0,1.0,109.0,0.0
4.4,0.045842,-0.057476,-0.134806,0.072825,-0.016239,-0.133309,69.295414,69.671811,0.0,0.0,30.875,-0.2071,0.0,-0.19186,0.0,0.0,21.0,1.0,109.0,0.0
4.5,0.047321,-0.073396,-0.137144,0.070914,-0.023283,-0.135606,69.216769,69.487903,0.0,0.0,30.875,-0.2071,0.0,-0.19186,0.0,0.0,21.0,1.0,109.0,0.0
4.6,0.046974,-0.002505,0.021977,0.070711,0.004953,0.087488,69.138124,69.409258,0.0,0.0,30.875,-0.303009,0.0,0.015915,0.0,0.0,20.0,1.0,109.0,0.0
4.7,0.047728,0.009023,0.112069,0.071584,0.009674,0.162495,69.166885,69.385448,0.0,0.0,30.75,-0.10627,0.0,0.01209,0.0,0.0,20.0,1.0,109.0,0.0
4.8,0.048637,0.013642,0.1367,0.072574,0.009674,0.169814,68.982977,69.280185,0.0,0.0,30.875,-0.303009,0.0,0.015915,0.0,0.0,19.0,1.0,109.0,0.0
4.9,0.048456,0.013642,0.085115,0.072228,0.012037,0.118806,68.799069,69.174922,0.0,0.0,30.875,-0.303009,0.0,0.015915,0.0,0.0,18.0,1.0,109.0,0.0
5.0,0.048307,-0.002505,0.031639,0.071297,0.004953,0.051594,68.770308,69.146162,0.0,0.0,30.875,-0.298592,0.0,-0.200752,0.0,0.0,18.0,1.0,109.0,0.0
5.1,0.046279,-0.020896,-0.035605,0.067911,-0.002121,-0.01943,68.954216,69.33007,0.0,0.0,30.875,-0.690147,0.0,-0.192359,0.0,0.0,19.0,1.0,109.0,0.0
5.2,0.045779,-0.036933,-0.061777,0.062965,-0.009185,-0.059233,69.138124,69.513978,0.0,0.0,30.875,-0.494682,0.0,-0.196564,0.0,0.0,20.0,1.0,109.0,0.0
5.3,0.047773,-0.059753,-0.083089,0.059481,-0.020936,-0.084821,69.061621,69.513978,0.0,0.0,30.875,-0.010902,0.0,-0.195988,0.0,0.0,20.0,1.0,109.0,0.0
5.4,0.049811,-0.055198,-0.040374,0.056626,-0.020936,-0.033514,68.982977,69.406572,0.0,0.0,30.75,0.36071,0.0,0.032825,0.0,0.0,19.0,1.0,109.0,0.0
5.5,0.049747,0.006716,0.0949,0.054113,0.002594,0.135751,68.827378,69.353879,0.0,0.0,30.75,0.557098,0.0,0.029148,0.0,0.0,19.0,1.0,109.0,0.0
5.6,0.048457,0.006716,0.077789,0.050809,0.004953,0.123641,68.748282,69.19296,0.0,0.0,30.875,0.557098,0.0,0.029148,0.0,0.0,18.0,1.0,109.0,0.0
5.7,0.046189,0.009023,0.036477,0.047024,0.007313,0.080289,68.563923,69.0086,0.0,0.0,30.875,0.169174,0.0,-0.178284,0.0,0.0,17.0,1.0,109.0,0.0
5.8,0.04442,0.004409,0.041319,0.043811,0.004953,0.056365,68.458659,68.596171,0.0,0.0,30.75,-0.402664,0.0,-0.187715,0.0,0.0,17.0,1.0,108.0,0.0
5.9,0.043229,-0.011709,0.000306,0.041076,-0.002121,0.004133,68.429899,68.257188,0.0,0.0,30.875,-0.407066,0.0,0.027869,0.0,0.0,17.0,1.0,108.0,0.0
6.0,0.04351,-0.032356,-0.023664,0.038549,-0.006831,-0.024129,68.537304,68.218874,0.0,0.0,30.875,-0.602028,0.0,0.031685,0.0,0.0,17.0,1.0,108.0,0.0
6.1,0.044519,-0.050638,-0.092532,0.033276,-0.013888,-0.110278,68.537304,68.18056,0.0,0.0,30.75,-0.6987,0.0,0.239647,0.0,0.0,17.0,1.0,108.0,0.0
6.2,0.047797,-0.073396,-0.045138,0.030003,-0.025628,-0.066225,68.35392,67.871036,0.0,0.0,30.875,-0.418739,0.0,0.047689,0.0,0.0,16.0,1.0,109.0,0.0
6.3,0.047911,-0.014007,0.014743,0.027236,-0.004477,0.046828,68.461325,68.055395,0.0,0.0,30.875,-0.703911,0.0,0.043504,0.0,0.0,17.0,1.0,109.0,0.0
6.4,0.047345,0.015953,0.038897,0.024578,0.007313,0.056365,68.645233,68.160658,0.0,0.0,30.875,-0.418739,0.0,0.047689,0.0,0.0,18.0,1.0,109.0,0.0
6.5,0.046374,0.020579,0.046166,0.022549,0.012037,0.068312,68.750496,68.265921,0.0,0.0,30.875,-0.602028,0.0,0.031685,0.0,0.0,18.0,1.0,109.0,0.0
6.6,0.047716,0.022893,0.161452,0.023128,0.0144,0.174699,68.829593,68.426841,0.0,0.0,30.875,-0.492119,0.0,0.217685,0.0,0.0,19.0,1.0,109.0,0.0
6.7,0.047754,0.006716,0.046166,0.022565,0.007313,0.051594,68.724329,68.403031,0.0,0.0,30.875,-0.201965,0.0,0.221676,0.0,0.0,18.0,1.0,109.0,0.0
6.8,0.047033,-0.014007,-0.028444,0.020682,0.002594,-0.042882,68.695569,68.341169,0.0,0.0,30.875,-0.298004,0.0,0.432778,0.0,0.0,18.0,1.0,109.0,0.0
6.9,0.048361,-0.027775,0.005113,0.019198,-0.002121,-0.002948,68.728939,68.386712,0.0,0.0,30.75,-0.113914,0.0,0.446315,0.0,0.0,18.0,1.0,109.0,0.0
7.0,0.050165,-0.052918,-0.057029,0.016552,-0.013888,-0.068553,68.621534,68.32485,0.0,0.0,30.875,-0.310707,0.0,0.449446,0.0,0.0,18.0,1.0,110.0,0.0
7.1,0.050847,-0.057476,-0.141817,0.013657,-0.016239,-0.137902,68.437626,68.186486,0.0,0.0,30.875,-0.303009,0.0,0.015915,0.0,0.0,17.0,1.0,110.0,0.0
7.2,0.049791,0.013642,-0.026054,0.012152,0.012037,0.015956,68.542889,68.370845,0.0,0.0,30.875,-0.307053,0.0,0.232649,0.0,0.0,17.0,1.0,109.0,0.0
7.3,0.052346,0.027525,0.176363,0.014675,0.016765,0.201654,68.648152,68.704178,0.0,0.0,30.875,-0.205643,0.0,0.439567,0.0,0.0,18.0,1.0,110.0,0.0
7.4,0.054943,0.032161,0.201313,0.017976,0.021497,0.218882,68.832512,69.043161,0.0,0.0,30.875,-0.113914,0.0,0.446315,0.0,0.0,19.0,1.0,110.0,0.0
7.5,0.054045,0.032161,0.072911,0.018518,0.021497,0.08989,68.803751,69.34448,0.0,0.0,30.75,-0.113914,0.0,0.446315,0.0,0.0,19.0,1.0,110.0,0.0
7.6,0.052102,0.015953,0.019564,0.017678,0.016765,0.027807,68.803751,69.428337,0.0,0.0,30.875,-0.197906,0.0,0.003848,0.0,0.0,19.0,1.0,110.0,0.0
7.7,0.05196,-0.004808,0.087559,0.018347,0.009674,0.080289,68.987135,69.623306,0.0,0.0,30.875,-0.494682,0.0,-0.196564,0.0,0.0,19.0,1.0,110.0,0.0
7.8,0.053163,-0.027775,0.014743,0.017796,-0.002121,0.004133,69.063638,69.360301,0.0,0.0,30.875,-0.494682,0.0,-0.196564,0.0,0.0,20.0,1.0,110.0,0.0
7.9,0.053272,-0.050638,-0.16744,0.015567,-0.013888,-0.181331,68.87973,69.176393,0.0,0.0,30.75,-0.6987,0.0,0.239647,0.0,0.0,19.0,1.0,110.0,0.0
8.0,0.054937,-0.032356,-0.059404,0.015561,-0.002121,-0.054567,68.695822,69.176393,0.0,0.0,30.75,-0.517685,0.0,0.468927,0.0,0.0,18.0,1.0,110.0,0.0
8.1,0.058277,0.022893,0.196313,0.019385,0.016765,0.218882,68.616726,69.015474,0.0,0.0,30.875,-0.414711,0.0,0.459232,0.0,0.0,18.0,1.0,111.0,0.0
8.2,0.059532,0.029842,0.158972,0.021892,0.021497,0.189384,68.721989,69.039283,0.0,0.0,30.75,-0.219078,0.0,0.45612,0.0,0.0,18.0,1.0,111.0,0.0
8.3,0.057516,0.029842,0.085115,0.021483,0.019131,0.087488,68.721989,69.256744,0.0,0.0,30.875,-0.019218,0.0,0.236621,0.0,0.0,18.0,1.0,111.0,0.0
8.4,0.056411,0.025208,0.082672,0.022475,0.019131,0.092293,68.767264,69.371299,0.0,0.0,30.75,-0.110283,0.0,0.229171,0.0,0.0,18.0,1.0,111.0,0.0
8.5,0.056263,0.002103,0.087559,0.02367,0.009674,0.077891,68.927362,69.485855,0.0,0.0,30.875,-0.022812,0.0,0.453021,0.0,0.0,19.0,1.0,111.0,0.0
8.6,0.05587,-0.014007,0.007519,0.024659,0.004953,0.008859,69.11127,69.624219,0.0,0.0,30.875,-0.399269,0.0,0.22519,0.0,0.0,20.0,1.0,111.0,0.0
8.7,0.057684,-0.034645,0.000306,0.024625,-0.004477,-0.000589,69.11127,69.545123,0.0,0.0,30.875,-0.495857,0.0,0.435974,0.0,0.0,20.0,1.0,111.0,0.0
8.8,0.059163,-0.057476,-0.125442,0.023584,-0.016239,-0.128711,68.927362,69.361215,0.0,0.0,30.875,-0.492119,0.0,0.217685,0.0,0.0,19.0,1.0,111.0,0.0
8.9,0.060762,-0.018601,0.014743,0.024086,0.000236,0.032555,68.664358,69.022232,0.0,0.0,30.875,-0.476662,0.0,-0.021186,0.0,0.0,18.0,1.0,112.0,0.0
9.0,0.061034,0.015953,0.154014,0.02503,0.009674,0.179589,68.693118,68.759228,0.0,0.0,30.875,-0.197906,0.0,0.003848,0.0,0.0,18.0,1.0,112.0,0.0
9.1,0.060751,0.015953,0.102251,0.025659,0.012037,0.138176,68.771763,68.79233,0.0,0.0,30.875,-0.406265,0.0,0.660328,0.0,0.0,18.0,1.0,112.0,0.0
9.2,0.05905,0.015953,0.055875,0.025518,0.012037,0.08989,68.743003,68.825431,0.0,0.0,30.875,-0.406265,0.0,0.660328,0.0,0.0,18.0,1.0,111.0,0.0
9.3,0.058746,0.002103,0.082672,0.02682,0.004953,0.08989,68.822099,69.088436,0.0,0.0,30.875,-0.131271,0.0,0.678131,0.0,0.0,19.0,1.0,111.0,0.0
9.4,0.061197,-0.018601,0.119446,0.03053,-0.004477,0.113975,69.33934,69.35144,0.0,0.0,30.875,-0.222313,0.0,0.672233,0.0,0.0,21.0,1.0,112.0,0.0
9.5,0.061668,-0.036933,0.009926,0.03248,-0.013888,0.011223,69.523248,69.35144,0.0,0.0,30.875,-0.010902,0.0,-0.195988,0.0,0.0,22.0,1.0,112.0,0.0
9.6,0.06348,-0.057476,-0.073628,0.031986,-0.020936,-0.073206,69.523248,69.35144,0.0,0.0,30.875,0.079445,0.0,-0.187109,0.0,0.0,22.0,1.0,112.0,0.0
9.7,0.064048,-0.075666,-0.146485,0.03006,-0.032659,-0.156234,69.33934,69.430536,0.0,0.0,30.875,-0.402664,0.0,-0.187715,0.0,0.0,21.0,1.0,112.0,0.0
9.8,0.06542,-0.011709,0.119446,0.031404,-0.006831,0.150321,69.368101,69.167532,0.0,0.0,30.875,-0.402664,0.0,-0.187715,0.0,0.0,21.0,1.0,113.0,0.0
9.9,0.066202,0.002103,0.085115,0.033285,-0.004477,0.126061,69.473364,69.007433,0.0,0.0,30.875,-0.220497,0.0,-0.170178,0.0,0.0,22.0,1.0,113.0,0.0
10.0,0.066181,0.002103,0.046166,0.034849,-0.004477,0.080289,69.420671,68.925979,0.0,0.0,30.875,-0.402664,0.0,-0.187715,0.0,0.0,22.0,1.0,113.0,0.0
10.1,0.068159,0.004409,0.149061,0.038781,-0.002121,0.177144,69.499767,68.820716,0.0,0.0,30.875,-0.2071,0.0,-0.19186,0.0,0.0,22.0,1.0,113.0,0.0
10.2,0.069739,-0.014007,0.0949,0.042972,-0.009185,0.150321,69.578863,68.899812,0.0,0.0,30.875,-0.2071,0.0,-0.19186,0.0,0.0,22.0,1.0,113.0,0.0
10.3,0.069346,-0.03922,-0.033219,0.044268,-0.018588,-0.007662,69.841867,69.162816,0.0,0.0,30.875,-0.395187,0.0,0.007712,0.0,0.0,24.0,1.0,113.0,0.0
10.4,0.06763,-0.052918,-0.118408,0.043318,-0.025628,-0.105659,70.025775,69.422703,0.0,0.0,30.875,-0.591827,0.0,0.011591,0.0,0.0,25.0,1.0,113.0,0.0
10.5,0.0697,-0.075666,-0.080726,0.04309,-0.035,-0.073206,70.102278,69.606612,0.0,0.0,30.875,-0.49913,0.0,0.019755,0.0,0.0,25.0,1.0,113.0,0.0
10.6,0.072738,-0.087001,-0.087813,0.04381,-0.042018,-0.08714,70.207541,69.790971,0.0,0.0,30.875,-0.591827,0.0,0.011591,0.0,0.0,26.0,1.0,114.0,0.0
10.7,0.075134,-0.016305,0.070474,0.046856,-0.013888,0.121223,70.236301,69.712326,0.0,0.0,30.875,-0.494682,0.0,-0.196564,0.0,0.0,26.0,1.0,115.0,0.0
10.8,0.07643,-0.002505,0.082672,0.05008,-0.011537,0.130904,70.157205,69.556727,0.0,0.0,30.875,-0.602028,0.0,0.031685,0.0,0.0,25.0,1.0,115.0,0.0
10.9,0.07866,0.004409,0.166418,0.054623,-0.006831,0.20657,69.639964,69.372368,0.0,0.0,30.875,-0.983185,0.0,0.019397,0.0,0.0,23.0,1.0,115.0,0.0
11.0,0.079425,0.004409,0.13917,0.058551,-0.006831,0.172256,69.456056,69.451464,0.0,0.0,30.875,-0.796371,0.0,0.035516,0.0,0.0,22.0,1.0,115.0,0.0
11.1,0.078009,-0.00941,-0.023664,0.060724,-0.009185,0.023063,69.350793,69.53056,0.0,0.0,30.875,-0.80043,0.0,0.250474,0.0,0.0,21.0,1.0,115.0,0.0
11.2,0.075432,-0.025483,-0.011693,0.061039,-0.013888,0.011223,69.534701,69.53056,0.0,0.0,30.875,-0.694611,0.0,0.02361,0.0,0.0,22.0,1.0,115.0,0.0
11.3,0.077257,-0.04379,0.005113,0.062739,-0.025628,0.020693,69.611203,69.714468,0.0,0.0,30.875,-0.407066,0.0,0.027869,0.0,0.0,23.0,1.0,115.0,0.0
11.4,0.081322,-0.068853,-0.045138,0.065294,-0.035,-0.0382,69.534701,69.898376,0.0,0.0,30.875,-0.694611,0.0,0.02361,0.0,0.0,22.0,1.0,116.0,0.0
11.5,0.084646,-0.075666,-0.113714,0.067095,-0.037341,-0.101036,69.427295,70.003639,0.0,0.0,30.875,-0.59761,0.0,-0.183553,0.0,0.0,22.0,1.0,116.0,0.0
11.6,0.085152,-0.007109,0.085115,0.068843,-0.009185,0.138176,69.271697,70.0324,0.0,0.0,30.875,-0.116226,0.0,-0.183023,0.0,0.0,21.0,1.0,117.0,0.0
11.7,0.086404,0.011332,0.124369,0.072244,0.000236,0.184484,69.116098,69.876801,0.0,0.0,30.875,-0.407066,0.0,0.027869,0.0,0.0,20.0,1.0,117.0,0.0
11.8,0.087291,0.013642,0.109613,0.076303,0.002594,0.160058,68.931739,69.613797,0.0,0.0,30.875,-0.10627,0.0,0.01209,0.0,0.0,19.0,1.0,117.0,0.0
11.9,0.08487,0.013642,0.02439,0.077281,0.002594,0.070705,68.826475,69.429889,0.0,0.0,30.875,0.0,0.0,0.0,0.0,0.0,19.0,1.0,116.0,0.0
12.0,0.082277,0.004409,0.007519,0.077857,0.002594,0.046828,68.721212,69.245981,0.0,0.0,30.875,0.0,0.0,0.0,0.0,0.0,18.0,1.0,116.0,0.0
12.1,0.084352,-0.011709,0.116986,0.08204,-0.002121,0.14546,68.615949,69.061621,0.0,0.0,30.875,0.293457,0.0,-0.21321,0.0,0.0,18.0,1.0,116.0,0.0
12.2,0.088157,-0.025483,0.031639,0.085118,-0.006831,0.070705,68.615949,69.094992,0.0,0.0,30.875,0.095474,0.0,-0.209075,0.0,0.0,18.0,1.0,117.0,0.0
12.3,0.08856,-0.052918,-0.075995,0.083922,-0.023283,-0.068553,68.432041,68.987587,0.0,0.0,30.875,-0.015251,0.0,0.020282,0.0,0.0,17.0,1.0,117.0,0.0
12.4,0.088193,-0.057476,-0.120754,0.081982,-0.020936,-0.101036,68.356062,68.908942,0.0,0.0,30.75,-0.211472,0.0,0.024068,0.0,0.0,16.0,1.0,117.0,0.0
12.5,0.090651,0.006716,0.109613,0.08512,0.007313,0.172256,68.356062,68.645938,0.0,0.0,30.875,-0.010902,0.0,-0.195988,0.0,0.0,16.0,1.0,118.0,0.0
12.6,0.09205,0.018266,0.097349,0.088262,0.012037,0.160058,68.384823,68.566842,0.0,0.0,30.875,0.275726,0.0,-0.191178,0.0,0.0,16.0,1.0,118.0,0.0
12.7,0.08938,0.015953,0.02439,0.087765,0.0144,0.080289,68.200915,68.382482,0.0,0.0,30.875,0.293457,0.0,-0.21321,0.0,0.0,16.0,1.0,117.0,0.0
12.8,0.088363,0.015953,0.112069,0.088948,0.016765,0.162495,68.017006,68.198574,0.0,0.0,30.875,0.492058,0.0,-0.217327,0.0,0.0,15.0,1.0,117.0,0.0
12.9,0.091822,-0.000202,0.176363,0.094179,0.012037,0.216418,67.909601,68.014666,0.0,0.0,30.875,0.289116,0.0,0.00449,0.0,0.0,14.0,1.0,118.0,0.0
13.0,0.092791,-0.025483,0.012334,0.095626,0.000236,0.030181,68.017006,67.938163,0.0,0.0,30.875,0.0,0.0,0.0,0.0,0.0,15.0,1.0,118.0,0.0
13.1,0.09086,-0.041505,-0.118408,0.091212,-0.002121,-0.101036,68.017006,67.938163,0.0,0.0,30.875,-0.298592,0.0,-0.200752,0.0,0.0,15.0,1.0,118.0,0.0
13.2,0.092034,-0.066579,-0.109014,0.089601,-0.016239,-0.089459,67.833622,67.754779,0.0,0.0,30.875,-0.311272,0.0,-0.17892,0.0,0.0,14.0,1.0,118.0,0.0
13.3,0.095641,-0.068853,-0.068891,0.090557,-0.013888,-0.0382,67.678998,67.6788,0.0,0.0,30.875,-0.505707,0.0,-0.1748,0.0,0.0,13.0,1.0,119.0,0.0
13.4,0.096234,0.002103,0.034057,0.091881,0.012037,0.121223,67.524375,67.6788,0.0,0.0,30.875,-0.414413,0.0,-0.1661,0.0,0.0,12.0,1.0,119.0,0.0
13.5,0.094032,0.015953,0.02439,0.090974,0.021497,0.094698,67.524375,67.757445,0.0,0.0,30.75,-0.414413,0.0,-0.1661,0.0,0.0,12.0,1.0,118.0,0.0
13.6,0.095173,0.018266,0.173875,0.093583,0.023865,0.238645,67.524375,67.6788,0.0,0.0,30.75,-0.791931,0.0,-0.179375,0.0,0.0,12.0,1.0,119.0,0.0
13.7,0.095821,0.013642,0.196313,0.095985,0.021497,0.256002,67.495614,67.64543,0.0,0.0,30.875,-0.592812,0.0,-0.398719,0.0,0.0,12.0,1.0,119.0,0.0
13.8,0.093845,-0.002505,-0.03799,0.095612,0.0144,0.013589,67.574259,67.64543,0.0,0.0,30.875,-0.787102,0.0,-0.394194,0.0,0.0,12.0,1.0,118.0,0.0
13.9,0.091714,-0.020896,-0.099603,0.092878,0.009674,-0.054567,67.834146,67.752835,0.0,0.0,30.875,-0.306549,0.0,-0.393701,0.0,0.0,14.0,1.0,118.0,0.0
14.0,0.092918,-0.041505,0.019564,0.090776,0.002594,0.037308,67.941551,67.752835,0.0,0.0,30.875,0.173798,0.0,-0.393012,0.0,0.0,14.0,1.0,118.0,0.0
14.1,0.096173,-0.064305,-0.006897,0.090562,-0.009185,0.015956,67.758167,67.492948,0.0,0.0,30.875,-0.220497,0.0,-0.170178,0.0,0.0,13.0,1.0,119.0,0.0
