Scenario - Repriduction_2015
Logfile written - 06/15/2015 15:25:17

Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

2	Picture	Pic 1	150447	0	1	100129	6	0	next	other	0
4	Picture	Pic 2	400859	0	1	100131	3	0	next	other	0
6	Picture	Pic 3	651271	0	1	100132	2	0	next	other	0
8	Picture	Pic 4	901683	0	1	100132	2	0	next	other	0
10	Picture	Pic 5	1152095	0	1	100132	2	0	next	other	0
12	Picture	Pic 6	1402507	0	1	100132	2	0	next	other	0
14	Picture	Pic 7	1652919	0	1	100132	2	0	next	other	0
16	Picture	Pic 8	1903164	0	1	100132	2	0	next	other	0
18	Picture	Pic 9	2153576	0	1	100132	2	0	next	other	0
20	Picture	Pic 10	2403988	0	1	100132	2	0	next	other	0
22	Picture	Pic 11	2654400	0	1	100132	2	0	next	other	0
24	Picture	Pic 12	2904812	0	1	100132	2	0	next	other	0
26	Picture	Pic 13	3155224	0	1	100132	2	0	next	other	0
28	Picture	Pic 14	3405636	0	2	100132	3	0	next	other	0
30	Picture	Pic 15	3656048	0	1	100132	2	0	next	other	0
32	Picture	Pic 16	3906460	0	2	100132	3	0	next	other	0
34	Picture	Pic 17	4156872	0	2	100132	3	0	next	other	0
36	Picture	Pic 18	4407284	0	2	100132	3	0	next	other	0
38	Picture	Pic 19	4657696	0	2	100132	3	0	next	other	0
40	Picture	Pic 20	4907941	0	1	100132	2	0	next	other	0
42	Picture	Pic 21	5158186	0	1	100132	2	0	next	other	0
44	Picture	Pic 22	5408598	0	1	100132	2	0	next	other	0
46	Picture	Pic 23	5658843	0	1	100131	3	0	next	other	0
48	Picture	Pic 24	5909088	0	1	100131	3	0	next	other	0
50	Picture	Pic 25	6159333	0	1	100131	2	0	next	other	0


Event Type	Code	Type	Response	RT	RT Uncertainty	Time	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur

Picture	Pic 1	other				150447	1	100129	6	0	next
Picture	Pic 2	other				400859	1	100131	3	0	next
Picture	Pic 3	other				651271	1	100132	2	0	next
Picture	Pic 4	other				901683	1	100132	2	0	next
Picture	Pic 5	other				1152095	1	100132	2	0	next
Picture	Pic 6	other				1402507	1	100132	2	0	next
Picture	Pic 7	other				1652919	1	100132	2	0	next
Picture	Pic 8	other				1903164	1	100132	2	0	next
Picture	Pic 9	other				2153576	1	100132	2	0	next
Picture	Pic 10	other				2403988	1	100132	2	0	next
Picture	Pic 11	other				2654400	1	100132	2	0	next
Picture	Pic 12	other				2904812	1	100132	2	0	next
Picture	Pic 13	other				3155224	1	100132	2	0	next
Picture	Pic 14	other				3405636	2	100132	3	0	next
Picture	Pic 15	other				3656048	1	100132	2	0	next
Picture	Pic 16	other				3906460	2	100132	3	0	next
Picture	Pic 17	other				4156872	2	100132	3	0	next
Picture	Pic 18	other				4407284	2	100132	3	0	next
Picture	Pic 19	other				4657696	2	100132	3	0	next
Picture	Pic 20	other				4907941	1	100132	2	0	next
Picture	Pic 21	other				5158186	1	100132	2	0	next
Picture	Pic 22	other				5408598	1	100132	2	0	next
Picture	Pic 23	other				5658843	1	100131	3	0	next
Picture	Pic 24	other				5909088	1	100131	3	0	next
Picture	Pic 25	other				6159333	1	100131	2	0	next
